year,ethnicity,marital_status,sex,percentage
2011,亞洲人（非華人）,"從未結婚
Never married","男
Male",23.0
2011,亞洲人（非華人）,"從未結婚
Never married","女
Female",35.6
2011,亞洲人（非華人）,"從未結婚
Never married","合計
Overall",34.1
2011,亞洲人（非華人）,"已婚
Married","男
Male",73.9
2011,亞洲人（非華人）,"已婚
Married","女
Female",56.3
2011,亞洲人（非華人）,"已婚
Married","合計
Overall",58.4
2011,亞洲人（非華人）,"喪偶／離婚／分居
Widowed/divorced/
separated","男
Male",3.1
2011,亞洲人（非華人）,"喪偶／離婚／分居
Widowed/divorced/
separated","女
Female",8.1
2011,亞洲人（非華人）,"喪偶／離婚／分居
Widowed/divorced/
separated","合計
Overall",7.5
2011,亞洲人（非華人）,"總計
Total","男
Male",100.0
2011,亞洲人（非華人）,"總計
Total","女
Female",100.0
2011,亞洲人（非華人）,"總計
Total","合計
Overall",100.0
2011,菲律賓人,"從未結婚
Never married","男
Male",26.1
2011,菲律賓人,"從未結婚
Never married","女
Female",36.4
2011,菲律賓人,"從未結婚
Never married","合計
Overall",35.9
2011,菲律賓人,"已婚
Married","男
Male",68.8
2011,菲律賓人,"已婚
Married","女
Female",54.0
2011,菲律賓人,"已婚
Married","合計
Overall",54.7
2011,菲律賓人,"喪偶／離婚／分居
Widowed/divorced/
separated","男
Male",5.1
2011,菲律賓人,"喪偶／離婚／分居
Widowed/divorced/
separated","女
Female",9.6
2011,菲律賓人,"喪偶／離婚／分居
Widowed/divorced/
separated","合計
Overall",9.4
2011,菲律賓人,"總計
Total","男
Male",100.0
2011,菲律賓人,"總計
Total","女
Female",100.0
2011,菲律賓人,"總計
Total","合計
Overall",100.0
2011,印尼人,"從未結婚
Never married","男
Male",29.2
2011,印尼人,"從未結婚
Never married","女
Female",40.4
2011,印尼人,"從未結婚
Never married","合計
Overall",40.4
2011,印尼人,"已婚
Married","男
Male",68.2
2011,印尼人,"已婚
Married","女
Female",52.6
2011,印尼人,"已婚
Married","合計
Overall",52.7
2011,印尼人,"喪偶／離婚／分居
Widowed/divorced/
separated","男
Male",2.6
2011,印尼人,"喪偶／離婚／分居
Widowed/divorced/
separated","女
Female",7.0
2011,印尼人,"喪偶／離婚／分居
Widowed/divorced/
separated","合計
Overall",6.9
2011,印尼人,"總計
Total","男
Male",100.0
2011,印尼人,"總計
Total","女
Female",100.0
2011,印尼人,"總計
Total","合計
Overall",100.0
2011,南亞裔人士,"從未結婚
Never married","男
Male",23.7
2011,南亞裔人士,"從未結婚
Never married","女
Female",20.2
2011,南亞裔人士,"從未結婚
Never married","合計
Overall",22.0
2011,南亞裔人士,"已婚
Married","男
Male",73.6
2011,南亞裔人士,"已婚
Married","女
Female",74.6
2011,南亞裔人士,"已婚
Married","合計
Overall",74.1
2011,南亞裔人士,"喪偶／離婚／分居
Widowed/divorced/
separated","男
Male",2.7
2011,南亞裔人士,"喪偶／離婚／分居
Widowed/divorced/
separated","女
Female",5.2
2011,南亞裔人士,"喪偶／離婚／分居
Widowed/divorced/
separated","合計
Overall",3.9
2011,南亞裔人士,"總計
Total","男
Male",100.0
2011,南亞裔人士,"總計
Total","女
Female",100.0
2011,南亞裔人士,"總計
Total","合計
Overall",100.0
2011,印度人,"從未結婚
Never married","男
Male",22.9
2011,印度人,"從未結婚
Never married","女
Female",20.9
2011,印度人,"從未結婚
Never married","合計
Overall",21.9
2011,印度人,"已婚
Married","男
Male",74.4
